x,y,z,cluster,original_path
-1.3823786,8.626781,18.973124,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\三城护军虎符_新00065936_HD_rank0_std14.jpg
-1.6815199,8.404965,18.85816,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\三城护军虎符_新00065936_HD_rank1_std15.jpg
-2.1890948,8.058752,18.646368,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\三城护军虎符_新00065936_HD_rank2_std15.jpg
15.661754,-3.4764643,-9.668769,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\三城护军虎符_新00065936_HD_rank3_std17.jpg
-1.4259579,8.581585,18.956532,4,D:\pycharm\WebCrawler\故宫文物spatial_data_tsne数据\铜器_裁切1\三国\三城护军虎符_新00065936_HD_rank4_std17.jpg
26.337276,11.668551,8.253095,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\兽纹镜_新00178521_HD_rank0_std17.jpg
6.716809,28.801712,-2.448368,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\兽纹镜_新00178521_HD_rank1_std22.jpg
5.2859497,28.88886,-3.504262,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\兽纹镜_新00178521_HD_rank2_std22.jpg
26.18798,11.895633,8.787247,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\兽纹镜_新00178521_HD_rank3_std23.jpg
26.501291,7.6276093,-4.4182234,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\兽纹镜_新00178521_HD_rank4_std24.jpg
4.1933246,10.704156,0.23835123,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\青龙三年弩机_新00018854_HD_rank0_std17.jpg
13.95748,11.199761,3.1625266,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\青龙三年弩机_新00018854_HD_rank1_std17.jpg
12.61234,11.111428,4.4977493,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\青龙三年弩机_新00018854_HD_rank2_std19.jpg
9.245979,8.796103,2.8873389,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\青龙三年弩机_新00018854_HD_rank3_std24.jpg
3.8093646,10.867609,-0.8784822,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\三国\青龙三年弩机_新00018854_HD_rank4_std25.jpg
10.024377,10.966199,-4.083195,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\万字纹镜_新00197992_HD_rank0_std10.jpg
8.348289,10.899557,-4.24519,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\万字纹镜_新00197992_HD_rank1_std10.jpg
-9.38148,16.708927,-8.3653345,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\万字纹镜_新00197992_HD_rank2_std12.jpg
8.3579445,10.923869,-4.3103766,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\万字纹镜_新00197992_HD_rank3_std12.jpg
